CALL SIGN,COMPANY ,FREQUENCY,DISTRICT,REGION
Kakumiro FM,Kakumiro Community Radio,95.1,Mityana,
Pearl FM,Pearl Of Africa,107.9,Kampala,
Radio Hoima,Kisembo Electronics Engineers (U) Limited,88.6,Hoima,
Liberty FM,Ababaigara Company Limited / Liberty B.S,89,Hoima,
Spice Radio,Spice Media Services Ltd,89.9,Hoima,"Masindi, Hoima, Buliisa, Kiryadongo"
Radio Maria,Radio Maria Association,90.7,Hoima,
Voice of Bunyoro,Kings Broadcasting Services.,93.6,Masindi,
Top Radio,Christian Life Ministries,94.9,Masindi,
New Life Church,Madison Baptist Church,96.2,Hoima,
B.B.S ,Earnest Publishers / Bunyoro Broadcasting service,98.2,Masindi,
UBC,Uganda Broadcasting Corporation,99.1,Hoima,
Radio Kitara,Masindi Broadcasting Service,101.8,Masindi,
UBC,Uganda Broadcasting Corporation,105,Masindi,
Tropical FM,African Rennaisance  FM,88.3,Mubende ,
Radio Kiboga,Kiboga Radio Limited,89.5,Kiboga,"Mpigi, Butambala, Gomba, Mubende, Kiboga, Kyankwanzi"
Radio Simba,Africa FM Limited,92,Mubende ,
Fire FM,Bishop Herbert Kuuku and Sons,93.5,Mubende ,
V.O.T,Voice of Toro,97.5,Mubende ,
Heart FM,Together in Christ ,102.3,Mubende ,
Kaboozi FM,Radio Two Limited ,104.3,Mubende ,
MBS FM,Mubende Broadcasting & Technical Services Ltd,106,Mubende ,
UBC,Uganda Broadcasting Network,107.3,Kiboga,
CBS FM,Central Broadcasting Service,87.7,Masaka,
Suubi FM,Suubi Broadcasting Service Limited,88.1,Masaka,
CBS FM,Central Broadcasting Service,89.9,Masaka,"Masaka, Sembabule, Bukomansimbi, Kalungu, Lwengo, Rakai"
Best FM,Buddu Broadcasting Services Ltd,91,Masaka,
Radio Equator,Kalungu Foundation Ltd,93,Masaka,
Radio Maria,Radio Maria Uganda Association,94,Masaka,
Prime Radio,Seventh Day Adventist ,94.6,Masaka,
Top Radio,Christian Life Ministries,96.2,Masaka,
Radio Star,Uganda Broadcasting Corporation,96.9,Masaka,
Buddu FM,Buddu Broadcasting Services Ltd,98.8,Masaka,
Akaboozi Ku 2,Radio Two,99.1,Masaka,
UBC,Uganda Broadcasting Corporation,99.5,Masaka,
KCR,Kalangala Community Radio,99.8,Kalangala,
Tropix FM,Compu Afria,100.7,Masaka,
Mbabule FM,Mbabule FM,101.1,Sembabule ,
Impact FM,Christian Radio Network,101.5,Masaka,
Radio Ssese,TimCom Ltd,101.9,Kalangala,
VOA,Voice of Africa (UMC for EC&SA),102.7,Masaka,
Word of Life,Baptist International Mission of Uganda,103,Masaka,
Radio West,New Vision Printing and Publishing Co. Ltd,106.6,Masaka,
Bukedde FM,New Vision Printing and Publishing Co. Ltd,106.8,Masaka,
Radio Kamwenge,Radio Kamwenge FM Limited,87.9,Kamwenge,
Hits FM,Endigyito FM Limited,88.9,Fort Portal,
Better FM,Forbes Communication Limited,89.4,Fort Portal,"Kibale, Ntoroko, Kyenjojo, Kyegegwa, Kabarole, Kamwenge"
10 Counties,Ten Counties,90.3,Kamwenge,
Radio West,New Vision Printing and Publishing Co. Ltd,91,Fort Portal,
Guide Radio,Diocese of  Kasese,91.4,Kasese,
Kibale-Kagadi  Community Radio,Uganda Rural Develop.& Training Prog.[URDT],91.7,Kibale,
Kibale-Kagadi  Community Radio,Uganda Rural Develop.& Training Prog.[URDT],91.7,Kibale,
